"varname","shortdesc","shrtname","longname","version","shrtcite","longcite","url"
"gdp05_corr","Group's contribution to host country's GDP in 2005; derived by GeoEPR/G-Econ overlay. Gross cell product intersecting with multiple polygons is divided evenly.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"elevsd","Standard deviation of gridded elevation measurements (0.008330 decimal degree resolution) intersecting with group polygon.","GTOPO30","Global 30 Arc-Second Elevation (GTOPO30)","v30","LP DAAC (1996)","Distributed by NASA's Land Processes Distributed Active Archive Center (LP DAAC) (1996).","https://lta.cr.usgs.gov/GTOPO30"
"elevsd","Standard deviation of gridded elevation measurements (0.008330 decimal degree resolution) intersecting with group polygon.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"meanelev","Mean elevation of territory intersecting with group polygon.","GTOPO30","Global 30 Arc-Second Elevation (GTOPO30)","v30","LP DAAC (1996)","Distributed by NASA's Land Processes Distributed Active Archive Center (LP DAAC) (1996).","https://lta.cr.usgs.gov/GTOPO30"
"meanelev","Mean elevation of territory intersecting with group polygon.","GEOEPR","GeoEPR Dataset","v2021","Wucherpfennig et al. (2011)","Wucherpfennig, J., N. B.Weidmann, L. Girardin, L.-E. Cederman, and A. Wimmer (2011). Politically relevant ethnic groups across space and time: Introducing the GeoEPR dataset. Conflict Management and Peace Science 28 (5).","http://www.icr.ethz.ch/data"
"tek_groupid_arr","String indicating comma-separated groupids of TEK groups associated with this group","TEK","Transborder Ethnic Kin (TEK) Dataset","v2021","Cederman et al. (2013)","Cederman, L.-E., K. S. Gleditsch, I. Salehyan, and J. Wucherpfennig (2013). Transborder Ethnic Kin and Civil War. International Organization 67 (2).","http://www.icr.ethz.ch/data"
"tek_count","Count variable indicating number of TEK groups associated with this group","TEK","Transborder Ethnic Kin (TEK) Dataset","v2021","Cederman et al. (2013)","Cederman, L.-E., K. S. Gleditsch, I. Salehyan, and J. Wucherpfennig (2013). Transborder Ethnic Kin and Civil War. International Organization 67 (2).","http://www.icr.ethz.ch/data"
"tek_isrelevant","Binary flag indicating whether at least one of this group's TEK groups is currently politically relevant","TEK","Transborder Ethnic Kin (TEK) Dataset","v2021","Cederman et al. (2013)","Cederman, L.-E., K. S. Gleditsch, I. Salehyan, and J. Wucherpfennig (2013). Transborder Ethnic Kin and Civil War. International Organization 67 (2).","http://www.icr.ethz.ch/data"
"tek_excl","Binary flag indicating whether at least one of this group's TEK groups is currently politically excluded (MEG)","TEK","Transborder Ethnic Kin (TEK) Dataset","v2021","Cederman et al. (2013)","Cederman, L.-E., K. S. Gleditsch, I. Salehyan, and J. Wucherpfennig (2013). Transborder Ethnic Kin and Civil War. International Organization 67 (2).","http://www.icr.ethz.ch/data"
"tek_egip","Binary flag indicating whether at least one of this group's TEK groups currently has EGIP status; note: for this coding; placeholder groups are considered EGIP","TEK","Transborder Ethnic Kin (TEK) Dataset","v2021","Cederman et al. (2013)","Cederman, L.-E., K. S. Gleditsch, I. Salehyan, and J. Wucherpfennig (2013). Transborder Ethnic Kin and Civil War. International Organization 67 (2).","http://www.icr.ethz.ch/data"
"ed_religion1","String indicating largest religion for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_rel1_size","Fraction of group associated with largest religion","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_religion2","String indicating second largest religion for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_rel2_size","Fraction of group associated with second largest religion","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_religion3","String indicating third largest religion for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_rel3_size","Fraction of group associated with third largest religion","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_language1","String indicating largest language for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_lang1_size","Fraction of group associated with largest language","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_language2","String indicating second largest language for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_lang2_size","Fraction of group associated with second largest language","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_language3","String indicating third largest language for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_lang3_size","Fraction of group associated with third largest language","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_phenotype1","String indicating largest phenotype class for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_phenotype2","String indicating second largest phenotype class for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"ed_phenotype3","String indicating third largest phenotype class for this group","IC","Ethnic Dimensions Dataset","v2021","Bormann et al. (2015)","Bormann, N.-C., L.-E. Cederman, and M. Vogt (2015). Language, Religion, and Civil War. Journal of Conflict Resolution.","http://www.icr.ethz.ch/data"
"agri_gc_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"agri_gc_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"aquaveg_gc_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"barren_gc_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_max_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_mean_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_min_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"cmr_sd_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_wsum","Group-level area-weighted sum of static PRIO-GRID variable [variable name]_wsum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_wmean","Group-level area-weighted mean of static PRIO-GRID variable [variable name]_wmean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_sum","Group-level sum of static PRIO-GRID variable [variable name]_sum.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_mean","Group-level mean of static PRIO-GRID variable [variable name]_mean.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_median","Group-level median of static PRIO-GRID variable [variable name]_median.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_max","Group-level maximum of static PRIO-GRID variable [variable name]_max.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
"diamsec_s_min","Group-level minimum of static PRIO-GRID variable [variable name]_min.","PRIOGRID","PRIO-GRID – [NOTE: Please also cite the PRIO-GRID input data.]","v2.0","Tollefsen et al. (2012)","Tollefsen, A. F.,  Havard Strand, and Halvard Buhaug (2012). PRIO-GRID: A unified spatial data structure. Journal of Peace Research 49 (2).","https://grid.prio.org/"
